order_id;value;status;freight_type;freight_value;payment_type;paid_at;refunded_at;device;company_id;customer_id;product_id;prod_cat
6406;389,9;pendente;PAC;0;Boleto;;;MOBILE;;15323;254;eletronico
8823;259,9;estornado;PAC;0;CreditCard;01/03/2021 14:12;21/04/2021 08:50;DESKTOP;;10828;255;movel
3086;199;aprovado;SEDEX;0;Boleto;02/03/2021 08:41;;DESKTOP;26;10667;256;cosmetico
5076;199;aprovado;CHINAPOST;0;Boleto;06/03/2021 08:42;;DESKTOP;26;10963;256;cosmetico
5616;199;nao_autorizado;SEDEX;0;;;;DESKTOP;26;10912;256;cosmetico
6084;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:46;;DESKTOP;26;10771;256;cosmetico
6264;199;aprovado;SEDEX;0;Boleto;02/03/2021 08:44;;DESKTOP;26;10608;256;cosmetico
9334;248,99;aprovado;SEDEX;0;Boleto;03/03/2021 07:46;;DESKTOP;26;10063;256;cosmetico
10817;199;aprovado;JADLOG;0;Boleto;06/03/2021 08:42;;DESKTOP;26;10836;256;cosmetico
11938;199;aprovado;PAC;0;Boleto;04/03/2021 08:06;;DESKTOP;26;11220;256;cosmetico
12279;199;pendente;PAC;0;Boleto;;;DESKTOP;26;11017;256;cosmetico
12975;199;aprovado;CHINAPOST;0;Boleto;03/03/2021 07:47;;DESKTOP;26;20332;256;cosmetico
15302;199;aprovado;JADLOG;0;Boleto;03/03/2021 07:48;;DESKTOP;26;20305;256;cosmetico
16516;199;aprovado;SEDEX;0;Boleto;03/03/2021 07:49;;DESKTOP;26;20201;256;cosmetico
4355;298;nao_autorizado;CHINAPOST;0;;;;DESKTOP;26;13531;257;suplemento
7783;0;nao_autorizado;SEDEX;0;;;;DESKTOP;26;15944;257;suplemento
11724;298;aprovado;SEDEX;0;CreditCard;01/03/2021 17:11;;DESKTOP;26;19000;257;suplemento
5563;398;aprovado;JADLOG;0;CreditCard;01/03/2021 10:51;;DESKTOP;26;10023;258;infoproduto
6029;398;nao_autorizado;JADLOG;0;;;;DESKTOP;26;10016;258;infoproduto
7166;398;nao_autorizado;SEDEX;0;;;;DESKTOP;26;10007;258;infoproduto
7595;398;nao_autorizado;SEDEX;0;;;;DESKTOP;26;10011;258;infoproduto
7832;0;nao_autorizado;SEDEX;0;;;;DESKTOP;26;10996;258;infoproduto
10338;398;aprovado;PAC;0;CreditCard;01/03/2021 15:49;;DESKTOP;26;18129;258;infoproduto
11724;298;aprovado;JADLOG;0;CreditCard;01/03/2021 17:11;;DESKTOP;26;19000;258;infoproduto
8016;479,88;nao_autorizado;SEDEX;0;;;;DESKTOP;;10631;259;suplemento
13835;479,88;aprovado;JADLOG;0;CreditCard;01/03/2021 19:28;;DESKTOP;;20347;259;suplemento
16708;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;22995;260;infoproduto
16708;0;nao_autorizado;CHINAPOST;0;;;;DESKTOP;;22995;261;cosmetico
4452;269,9;aprovado;CHINAPOST;0;CreditCard;01/03/2021 12:31;;DESKTOP;;13714;264;vestuario
12786;539,9;aprovado;CHINAPOST;0;Boleto;03/03/2021 08:02;;DESKTOP;;19804;265;cosmetico
6911;269,9;nao_autorizado;PAC;0;;;;DESKTOP;;15706;263;eletronico
4113;159;aprovado;CHINAPOST;0;CreditCard;01/03/2021 09:37;;DESKTOP;;11103;269;cosmetico
6574;539,9;aprovado;JADLOG;0;CreditCard;01/03/2021 11:54;;DESKTOP;;11093;265;cosmetico
7333;159;aprovado;CHINAPOST;0;CreditCard;01/03/2021 12:36;;DESKTOP;;14262;269;cosmetico
