id;name;height;weight;length;width;category
250.0;PRODUTO 250;1200.0;0.25;1600.0;2000.0;cosmetico
251.0;PRODUTO 251;7.0;0.5;49.0;30.0;movel
252.0;PRODUTO 252;12.0;0.5;18.0;34.0;eletronico
253.0;PRODUTO 253;13.0;0.13;35.0;13.0;eletronico
254.0;PRODUTO 254;30.0;0.63;48.0;7.0;eletronico
255.0;PRODUTO 255;13.0;0.38;35.0;13.0;movel
256.0;PRODUTO 256;0.01;5.0;0.01;0.01;cosmetico
257.0;PRODUTO 257;0.01;0.01;0.01;0.01;suplemento
258.0;PRODUTO 258;10.0;10.0;10.0;10.0;infoproduto
259.0;PRODUTO 259;12.0;0.4;18.0;34.0;suplemento
260.0;PRODUTO 260;12.0;0.6;18.0;34.0;infoproduto
261.0;PRODUTO 261;12.0;0.9;18.0;34.0;cosmetico
262.0;PRODUTO 262;17.0;0.4;21.0;9.0;livro
263.0;PRODUTO 263;14.0;0.8;34.0;14.0;eletronico
264.0;PRODUTO 264;14.0;1.2;34.0;14.0;vestuario
265.0;PRODUTO 265;29.0;2.0;47.0;11.0;cosmetico
266.0;PRODUTO 266;20.0;1.1;38.0;15.0;cosmetico
267.0;PRODUTO 267;20.0;1.1;38.0;15.0;movel
268.0;PRODUTO 268;36.0;0.55;45.0;7.0;cosmetico
269.0;PRODUTO 269;0.0;0.0;0.0;0.0;cosmetico
270.0;PRODUTO 270;120000.0;0.3;160000.0;200000.0;eletronico
271.0;PRODUTO 271;17.0;0.22;21.0;9.0;infoproduto
272.0;PRODUTO 272;0.0;0.0;0.0;0.0;movel
273.0;PRODUTO 273;36.0;0.55;45.0;6.0;eletronico
274.0;PRODUTO 274;14.0;0.8;34.0;14.0;eletronico
275.0;PRODUTO 275;14.0;1.2;34.0;14.0;cosmetico
276.0;PRODUTO 276;29.0;2.0;47.0;11.0;eletronico
277.0;PRODUTO 277;4.0;0.35;37.0;15.0;eletronico
278.0;PRODUTO 278;13.0;0.7;27.0;16.0;livro
279.0;PRODUTO 279;13.0;0.7;27.0;16.0;movel
280.0;PRODUTO 280;13.0;0.13;35.0;13.0;infoproduto
281.0;PRODUTO 281;13.0;0.38;35.0;13.0;limpeza
282.0;PRODUTO 282;30.0;0.63;35.0;7.0;eletronico
283.0;PRODUTO 283;7.0;0.46;25.0;25.0;suplemento
284.0;PRODUTO 284;20.0;1.38;25.0;25.0;eletronico
285.0;PRODUTO 285;33.0;2.3;25.0;25.0;eletronico
286.0;PRODUTO 286;12.0;0.05;16.0;20.0;eletronico
287.0;PRODUTO 287;0.0;0.0;0.0;0.0;infoproduto
288.0;PRODUTO 288;1000.0;10.0;1000.0;1000.0;livro
289.0;PRODUTO 289;1000.0;10.0;1000.0;1000.0;livro
290.0;PRODUTO 290;10.0;10.0;10.0;10.0;livro
291.0;PRODUTO 291;10.0;10.0;10.0;10.0;movel
292.0;PRODUTO 292;10.0;10.0;10.0;10.0;movel
293.0;PRODUTO 293;10.0;10.0;10.0;10.0;cosmetico
294.0;PRODUTO 294;10.0;10.0;10.0;10.0;cosmetico
295.0;PRODUTO 295;10.0;10.0;10.0;10.0;eletronico
